id,code_id,field_id,label_en,label_fr,field_id__search_id,field_id__field_id
71,cht-fcpl,22,Canada Housing Trust,Fiducie du Canada pour l'habitation,travelq,owner_org
72,cib-bic,22,Canada Infrastructure Bank,La Banque de l’infrastructure du Canada,travelq,owner_org
73,cic,22,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",travelq,owner_org
74,cics-scic,22,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,travelq,owner_org
75,cihi-icis,22,Canadian Institute of Health Information,Institut canadien d'information sur la santé,travelq,owner_org
76,cihr-irsc,22,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,travelq,owner_org
77,cirb-ccri,22,Canada Industrial Relations Board,Conseil canadien des relations industrielles,travelq,owner_org
78,citt-tcce,22,Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,travelq,owner_org
79,clccl-siccl,22,Canada Lands Company CLC Limited,Société immobilière du Canada CLC limitée,travelq,owner_org
80,clcl-sicl,22,Canada Lands Company Limited,Société immobilière du Canada Limitée,travelq,owner_org
81,cmc-mcc,22,Canadian Museum of History,Musée canadien de l'histoire,travelq,owner_org
82,cmhc-schl,22,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,travelq,owner_org
83,cmhr-mcdp,22,Canadian Museum for Human Rights,Musée canadien pour les droits de la personne,travelq,owner_org
84,cmip-mciq,22,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,travelq,owner_org
85,cmmgpi-sarpgm,22,Corporation for the Mitigation of Mackenzie Gas Project Impacts,Société d'atténuation des répercussions du projet gazier Mackenzie,travelq,owner_org
86,cmn-mcn,22,Canadian Museum of Nature,Musée canadien de la nature,travelq,owner_org
87,cnlopb,22,Canada-Newfoundland and Labrador Offshore Petroleum Board,Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers,travelq,owner_org
88,cnsc-ccsn,22,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,travelq,owner_org
89,cnsopb,22,Canada-Nova Scotia Offshore-Petroleum Board,Office Canada-Nouvelle-Écosse des hydrocarbures extracôtiers,travelq,owner_org
90,cpc-cpp,22,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,travelq,owner_org
91,cpc-scp,22,Canada Post,Postes Canada,travelq,owner_org
92,cppib-oirpc,22,Canada Pension Plan Investment Board,L’Office d’investment du Régime de pensions du Canada,travelq,owner_org
93,cra-arc,22,Canada Revenue Agency,Agence du revenu du Canada,travelq,owner_org
